Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12997340,The Book of Chuang Tzu,Zhuangzi,"Zhuangzi, Zhuangzi",Martin Palmer,"=""""","=""""",0,4.35,Penguin Classics,Kindle Edition,356,,-350,,2022/07/11,to-read,to-read (#55),to-read,,,,0,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.18,Viking,Hardcover,487,2011,2011,,2022/07/07,to-read,to-read (#54),to-read,,,,0,0
10087892,All Things Shining: Reading the Western Classics to Find Meaning in a Secular Age,Hubert L. Dreyfus,"Dreyfus, Hubert L.",Sean Dorrance Kelly,"=""1439101701""","=""9781439101704""",0,3.74,Free Press,Kindle Edition,272,2011,2010,,2022/07/05,to-read,to-read (#53),to-read,,,,0,0
40941,The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,John Gribbin,"Gribbin, John",Adam Hook,"=""0812967887""","=""9780812967883""",0,4.12,Random House Trade Paperbacks,Paperback,647,2004,2002,,2022/07/05,to-read,to-read (#52),to-read,,,,0,0
791098,"A Gentle Madness: Bibliophiles, Bibliomanes, and the Eternal Passion for Books",Nicholas A. Basbanes,"Basbanes, Nicholas A.",,"=""0805061762""","=""9780805061765""",0,4.04,Holt McDougal,Paperback,638,1999,1995,,2022/07/04,to-read,to-read (#51),to-read,,,,0,0
1168191,Meditations,Marcus Aurelius,"Aurelius, Marcus",Gregory Hays,"=""0812968255""","=""9780812968255""",2,4.28,Modern Library,Paperback,256,2003,180,2022/07/04,2022/07/03,"classics, non-fiction, philosophy, reread","classics (#7), non-fiction (#12), philosophy (#2), reread (#2)",read,"If I were rating this on the basis of historical coolness it would be 5 stars. However the act of actually reading this from cover to cover was a bit painful. I enjoyed the opening introduction by Hays, but I found the main text extremely repetitive and disjointed. Of course this makes sense because this was never intended to be published. I also found the philosophy to be a bit simple and not very rigorous. It's kinda just like reading a series of extremely similar mantras for 170 pages.... I'm Sorry Marcus I'm sure you were a great guy and all but your diary was not my cup of tea.",,,1,0
2072205,The Rape of Nanking: The Forgotten Holocaust of World War II,Iris Chang,"Chang, Iris",,"=""0465068367""","=""9780465068364""",0,4.23,Basic Books,Paperback,315,2012,1997,,2022/06/28,to-read,to-read (#50),to-read,,,,0,0
582067,Anti-Intellectualism in American Life,Richard Hofstadter,"Hofstadter, Richard",,"=""0394703170""","=""9780394703176""",0,4.12,Vintage,Paperback,434,1964,1963,,2022/06/28,to-read,to-read (#49),to-read,,,,0,0
130977,"Of Time, Work, and Leisure",Sebastian De Grazia,"Grazia, Sebastian De",,"=""067974343X""","=""9780679743439""",0,3.68,Vintage,Paperback,559,1994,1962,,2022/06/28,to-read,to-read (#48),to-read,,,,0,0
109333,The Feminization of American Culture,Ann  Douglas,"Douglas, Ann",,"=""0374525587""","=""9780374525583""",0,3.60,"Farrar, Straus and Giroux",Paperback,416,1998,1977,,2022/06/28,to-read,to-read (#47),to-read,,,,0,0
